Country,Positives,Pos.PerMillion,Recovered,Dead
Estados Unidos,7.164.954,"21.741,21",—,204.795
India,6.145.291,"4.516,81",5.101.397,96.318
Brasil,4.748.327,"22.468,06",4.084.182,142.161
Rusia,1.167.805,"7.958,05",952.399,20.545
Colombia,818.203,"16.564,26",722.536,25.641
Perú,808.714,"25.168,96",670.989,32.324
España,748.266,"15.886,62",—,31.411
México,733.717,"5.796,57",527.278,76.603
Argentina,723.119,"16.091,23",576.702,16.113
Sudáfrica,671.669,"11.427,8",604.478,16.586
Francia,542.639,"8.089,91",95.426,31.808
Chile,459.671,"24.057,46",433.016,12.698
Irán,449.960,"5.399,67",376.531,25.779
Reino Unido,439.013,"6.608,1",—,42.001
Bangladesh,360.555,"2.141,42",272.073,5.193
Irak,353.566,"9.036,16",284.784,9.052
Arabia Saudita,333.648,"9.750,61",317.846,4.712
Turquía,315.845,"3.798,27",277.052,8.062
Pakistán,311.516,"1.421,48",296.340,6.474
Italia,311.364,"5.168,43",225.190,35.851
Filipinas,309.303,"2.851,07",252.930,5.448
Alemania,288.613,"3.471,02",252.489,9.545
Indonesia,282.724,"1.059,24",210.437,10.601
Israel,233.265,"25.410,13",165.191,1.507
Ucrania,204.932,"4.893,33",90.250,4.065
Canadá,155.301,"4.089,12",132.607,9.278
Kazajistán,139.581,"7.474,43",—,2.043
Ecuador,134.965,"7.731,4",112.296,11.280
Bolivia,134.308,"11.709,61",94.324,7.900
Rumanía,125.414,"6.462,92",100.636,4.792
Catar,125.331,45.620,122.209,214
Marruecos,119.107,"3.321,75",97.468,2.113
Bélgica,115.353,"10.009,41",—,9.987
Países Bajos,114.540,"6.563,51",—,6.380
República Dominicana,111.666,"10.780,32",86.422,2.098
Panamá,111.277,"26.376,41",87.695,2.348
Kuwait,103.981,"23.524,53",95.511,605
Egipto,102.955,"1.027,49",95.586,5.901
Omán,98.057,"21.020,67",88.234,924
Emiratos Árabes Unidos,92.095,"9.311,55",81.462,413
Suecia,90.923,"8.798,9",—,5.880
Guatemala,90.263,"5.436,21",79.067,3.234
Polonia,89.962,"2.344,04",68.955,2.483
China continental,85.372,"60,89",80.553,4.634
Japón,82.494,"654,97",75.459,1.557
Bielorrusia,78.260,"8.313,64",74.320,828
Honduras,75.537,"8.247,89",26.957,2.301
Nepal,74.745,"2.491,79",54.640,481
Portugal,74.029,"7.203,64",47.884,1.957
Etiopía,73.944,"749,45",30.753,1.177
Costa Rica,73.714,"14.573,72",29.420,861
Venezuela,72.691,"2.256,12",62.427,606
Baréin,69.848,"45.258,86",63.549,245
Chequia,65.883,"6.160,78",31.799,618
Nigeria,58.460,"283,59",49.895,1.111
Singapur,57.742,"10.123,78",57.393,27
Uzbekistán,56.068,"1.644,04",52.466,463
Suiza,51.864,"6.040,14",42.700,1.778
Moldavia,51.194,"19.089,88",38.217,1.301
Argelia,51.067,"1.187,6",35.860,1.714
Armenia,49.574,"16.762,13",43.665,957
Palestina,47.830,"9.610,82",—,322
Kirguistán,46.522,"7.120,53",42.761,1.064
Ghana,46.387,"1.531,89",45.618,299
Austria,44.041,"4.946,98",34.916,796
Azerbaiyán,40.023,"3.975,62",37.655,586
Paraguay,39.432,"5.512,88",23.063,818
Afganistán,39.239,"1.217,64",32.642,1.456
Kenia,38.115,"801,34",24.621,691
Líbano,37.272,"5.460,75",16.676,351
Irlanda,35.377,"7.188,26",24.000,1.802
Serbia,33.414,"4.798,27",—,748
El Salvador,28.630,"4.413,99",22.879,826
Dinamarca,27.107,"4.655,35",13.216,649
Australia,27.063,"1.054,46",24.583,882
Bosnia y Herzegovina,27.001,"8.179,64",20.005,829
Hungría,25.567,"2.616,15",5.173,757
Corea del Sur,23.699,"457,68",21.470,407
Libia,22.781,"3.315,39",2.420,362
Camerún,20.712,"780,23",19.440,418
Bulgaria,20.271,"2.895,84",14.339,807
Costa de Marfil,19.600,"759,01",19.122,120
Grecia,17.707,"1.651,06",9.989,383
Macedonia del Norte,17.674,"8.508,85",14.642,729
Croacia,16.380,"4.018,4",14.947,275
Madagascar,16.285,"620,35",14.922,229
Kosovo,15.520,"8.643,03",13.420,625
Túnez,15.178,"1.294,83",5.032,207
Senegal,14.869,"917,32",12.028,306
Zambia,14.515,"811,55",13.643,332
Noruega,13.660,"2.544,91",11.190,270
Sudán,13.592,"320,62",6.764,836
Albania,13.391,"4.705,27",7.629,380
Myanmar (Birmania),11.631,"214,04",3.073,256
Malasia,11.135,"340,13",9.939,134
Namibia,11.121,"4.522,69",8.787,121
República Democrática del Congo,10.624,"118,62",10.093,271
Guinea,10.580,"865,91",9.892,66
Montenegro,10.313,"16.570,82",6.456,158
Maldivas,10.098,"26.944,17",8.847,34
Guayana Francesa,9.895,"34.698,11",9.536,65
Finlandia,9.731,"1.760,45",—,343
Eslovaquia,9.574,"1.754,65",4.329,45
Tayikistán,9.562,"1.047,66",8.341,74
Gabón,8.728,"4.017,35",7.934,54
Haití,8.684,"750,06",6.551,227
Jordania,8.492,"797,42",4.222,45
Luxemburgo,8.357,"13.613,1",6.976,124
Mozambique,7.983,"265,51",4.807,58
Zimbabue,7.787,"513,67",6.057,227
Mauritania,7.433,1.823,7.052,161
Uganda,7.218,"179,11",3.291,71
Georgia,5.866,"1.575,41",2.324,33
Jamaica,5.854,"2.146,94",1.624,88
Cabo Verde,5.771,"10.483,52",5.031,57
Malaui,5.761,"301,15",4.110,179
Eslovenia,5.487,"2.620,27",—,149
Cuba,5.457,"486,81",2.345,122
Yibuti,5.409,"5.015,89",5.340,61
Esuatini,5.399,"4.938,54",4.767,108
Hong Kong,5.080,"677,27",4.786,105
Nicaragua,5.073,"785,24",2.913,149
Guinea Ecuatorial,5.018,"3.694,39",4.530,83
Congo,5.005,"907,02",—,89
Surinam,4.836,"8.318,25",4.667,102
República Centroafricana,4.806,"874,45",1.840,62
Ruanda,4.789,"387,01",3.080,29
Angola,4.672,"150,09",1.639,171
Lituania,4.587,"1.642,04",2.349,92
Trinidad y Tobago,4.362,"3.197,98",2.234,71
Siria,4.001,"228,62",1.028,185
Reunión,3.882,"4.530,76",2.819,14
Aruba,3.872,"34.476,31",3.037,25
Bahamas,3.699,"9.599,31",1.962,75
Tailandia,3.559,"53,53",3.370,59
Gambia,3.555,"1.514,24",2.034,110
Mayotte,3.541,"15.477,28",—,40
Somalia,3.465,"218,02",2.877,98
Sri Lanka,3.363,"154,24",—,13
Estonia,3.315,"2.495,56",—,64
Malí,3.064,"153,41",2.402,130
Malta,3.035,"6.149,21",2.484,34
Botsuana,2.921,"1.248,9",—,13
Guyana,2.787,"3.560,45",1.617,78
Sudán del Sur,2.676,"209,42",1.290,49
Islandia,2.663,"7.310,71",2.161,10
Benín,2.325,"198,16",1.960,40
Guinea-Bisáu,2.324,"1.448,4",1.549,39
Sierra Leona,2.215,"280,33",1.681,72
Yemen,2.033,"68,16",—,587
Uruguay,2.010,"571,26",1.755,47
Andorra,1.966,"25.353,67",1.265,53
Burkina Faso,1.950,"93,44",1.260,56
Nueva Zelanda,1.835,"368,84",1.755,25
Belice,1.758,"4.303,69",1.072,22
Togo,1.722,"228,44",1.312,44
Letonia,1.697,"889,97",1.282,36
Chipre,1.671,"1.907,75",1.369,22
Lesoto,1.554,"774,21",782,35
Polinesia Francesa,1.517,"5.498,01",1.273,6
Guadalupe,1.363,"3.350,87",—,20
Liberia,1.338,"298,97",1.221,82
Martinica,1.290,"3.323,81",—,20
Níger,1.194,"53,51",1.107,69
Chad,1.175,"72,33",1.004,83
Vietnam,1.094,"11,37",1.007,35
Santo Tomé y Príncipe,911,"4.514,73",881,15
Norte de Chipre,746,"2.288,34",321,4
San Marino,746,"22.219,57",—,42
Islas Turcas y Caicos,682,"16.485,77",621,5
Sint Maarten,645,"15.881,22",549,22
Papúa Nueva Guinea,532,"59,54",516,7
Taiwán,513,"21,73",482,7
Tanzania,509,"9,11",183,21
Burundi,483,"44,1",462,1
Comoras,474,"542,51",453,7
Islas Feroe,463,"8.882,66",428,0
Jersey,408,"3.820,22",366,32
Gibraltar,379,"11.245,96",341,0
Mauricio,370,"292,26",343,10
Eritrea,369,"105,52",330,0
San Martín,367,"10.266,88",273,8
Curazao,364,"2.294,14",148,1
Isla de Man,340,"4.080,95",314,24
Mongolia,313,"94,55",303,0
Camboya,276,"18,05",274,0
Bután,273,"368,09",210,0
Guernsey,256,"4.035,37",240,13
Islas Caimán,210,"3.190,86",207,1
Mónaco,208,"5.430,81",167,2
Barbados,190,"661,96",178,7
Bermudas,181,"2.826,93",167,9
Brunéi,146,"330,02",142,3
Seychelles,143,"1.464,79",140,0
Liechtenstein,117,"3.019,43",110,1
Antigua y Barbuda,101,"1.047,14",88,3
Caribe Neerlandés,78,"3.140,22",—,1
Islas Vírgenes Británicas,71,"2.364,3",62,1
San Vicente y las Granadinas,64,"578,62",64,0
Macao,46,"67,69",46,0
San Bartolomé,45,—,25,0
Fiyi,32,"36,16",28,2
Dominica,30,"417,78",24,0
Santa Lucía,27,"151,09",27,0
Timor Oriental,27,"19,46",27,0
Nueva Caledonia,26,"92,13",26,0
Granada,24,"214,28",24,0
Laos,23,"3,23",22,0
Åland,21,"702,69",0,0
San Cristóbal y Nieves,19,"359,69",17,0
San Pedro y Miquelón,16,—,5,0
Groenlandia,14,"249,64",14,0
Islas Malvinas (Falkland Islands),13,—,13,0
Montserrat,13,—,12,1
Ciudad del Vaticano,12,—,12,0
Anguilla,3,"201,76",3,0
Turkmenistán,0,0,—,—
Antártida,—,—,—,—
Isla Bouvet,—,—,—,—
Territorio Británico del Océano Índico,—,—,—,—
Isla de Navidad,—,—,—,—
Islas Cocos,—,—,—,—
Islas Cook,—,—,—,—
Estados Federados de Micronesia,—,—,—,—
Territorios Australes Franceses,—,—,—,—
Islas Heard y McDonald,—,—,—,—
Kiribati,—,—,—,—
Islas Marshall,—,—,—,—
Nauru,—,—,—,—
Niue,—,—,—,—
Isla Norfolk,—,—,—,—
Corea del Norte,—,—,—,—
Palaos,—,—,—,—
Islas Pitcairn,—,—,—,—
Santa Elena,—,—,—,—
Samoa,—,—,—,—
Islas Salomón,—,—,—,—
Islas Georgias del Sur y Sandwich del Sur,—,—,—,—
Svalbard y Jan Mayen,—,—,—,—
Tokelau,—,—,—,—
Tonga,—,—,—,—
Tuvalu,—,—,—,—
Islas Ultramarinas Menores de Estados Unidos,—,—,—,—
Vanuatu,—,—,—,—
Wallis y Futuna,—,—,—,—
Sahara Occidental,—,—,—,—
